Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.485929	1	0	1	-98.2692
0.486929	1	0	1	-98.2692
0.487929	1	0	1	-98.2692
0.488929	1	0	1	-98.2692
0.489929	1	0	1	-98.2692
0.490929	1	0	1	-98.2692
0.491929	1	0	1	-98.2692
0.492929	1	0	1	-98.2692
0.493929	1	0	1	-98.2692
0.494929	1	0	1	-98.2692
0.495929	1	0	1	-98.2692
0.496929	1	0	1	-98.2692
0.497929	1	0	1	-98.2692
0.498929	1	0	1	-98.2692
0.499929	1	0	1	-98.2692
0.500929	1	0	1	-98.2692
0.501929	1	0	1	-98.2692
0.502929	1	0	1	-98.2692
0.503929	1	0	1	-98.2692
0.504929	1	0	1	-98.2692
0.505929	1	0	1	-98.2692
0.506929	1	0	1	-98.2692
0.507929	1	0	1	-98.2692
0.508929	1	0	1	-98.2692
0.509929	1	0	1	-98.2692
0.510929	1	0	1	-98.2692
0.511929	1	0	1	-98.2692
0.512929	1	0	1	-98.2692
0.513929	1	0	1	-98.2692
0.514929	1	0	1	-98.2692
0.515929	1	0	1	-98.2692
0.516929	1	0	1	-98.2692
0.517929	1	0	1	-98.2692
0.518929	1	0	1	-98.2692
0.519929	1	0	1	-98.2692
0.520929	1	0	1	-98.2692
0.521929	1	0	1	-98.2692
0.522929	1	0	1	-98.2692
0.523929	1	0	1	-98.2692
0.524929	1	0	1	-98.2692
0.525929	1	0	1	-98.2692
0.526929	1	0	1	-98.2692
0.527929	1	0	1	-98.2692
0.528929	1	0	1	-98.2692
0.529929	1	0	1	-98.2692
0.530857	1	0	1	-98.2692
0.530929	1	0	1	-98.2692
0.531929	1	0	1	-98.2692
0.532929	1	0	1	-98.2692
0.533929	1	0	1	-98.2692
0.534929	1	0	1	-98.2692
0.535929	1	0	1	-98.2692
0.536929	1	0	1	-98.2692
0.537929	1	0	1	-98.2692
0.538929	1	0	1	-98.2692
0.539929	1	0	1	-98.2692
0.540929	1	0	1	-98.2692
0.541929	1	0	1	-98.2692
0.542929	1	0	1	-98.2692
0.543929	1	0	1	-98.2692
0.544929	1	0	1	-98.2692
0.545929	1	0	1	-98.2692
0.546929	1	0	1	-98.2692
0.547929	1	0	1	-98.2692
0.548929	1	0	1	-98.2692
0.549929	1	0	1	-98.2692
0.550929	1	0	1	-98.2692
0.551929	1	0	1	-98.2692
0.552929	1	0	1	-98.2692
0.553929	1	0	1	-98.2692
0.554929	1	0	1	-98.2692
0.555929	1	0	1	-98.2692
0.556929	1	0	1	-98.2692
0.557929	1	0	1	-98.2692
0.558929	1	0	1	-98.2692
0.559929	1	0	1	-98.2692
0.560929	1	0	1	-98.2692
0.561929	1	0	1	-98.2692
0.562929	1	0	1	-98.2692
0.563929	1	0	1	-98.2692
0.564929	1	0	1	-98.2692
0.565929	1	0	1	-98.2692
0.566929	1	0	1	-98.2692
0.567929	1	0	1	-98.2692
0.568929	1	0	1	-98.2692
0.569929	1	0	1	-98.2692
0.570929	1	0	1	-98.2692
0.571929	1	0	1	-98.2692
0.572929	1	0	1	-98.2692
0.573929	1	0	1	-98.2692
0.574929	1	0	1	-98.2692
0.575929	1	0	1	-98.2692
0.576929	1	0	1	-98.2692
0.577929	1	0	1	-98.2692
0.578929	1	0	1	-98.2692
0.579929	1	0	1	-98.2692
0.580929	1	0	1	-98.2692
0.581929	1	0	1	-98.2692
0.582929	1	0	1	-98.2692
0.583929	1	0	1	-98.2692
0.584929	1	0	1	-98.2692
0.585929	1	0	1	-98.2692
0.586929	1	0	1	-98.2692
0.587929	1	0	1	-98.2692
0.588929	1	0	1	-98.2692
0.589929	1	0	1	-98.2692
0.590929	1	0	1	-98.2692
0.591929	1	0	1	-98.2692
0.592929	1	0	1	-98.2692
0.593929	1	0	1	-98.2692
0.594929	1	0	1	-98.2692
0.595929	1	0	1	-98.2692
0.596929	1	0	1	-98.2692
0.597929	1	0	1	-98.2692
0.598929	1	0	1	-98.2692
0.599929	1	0	1	-98.2692
0.600929	1	0	1	-98.2692
0.601929	1	0	1	-98.2692
0.602929	1	0	1	-98.2692
0.603929	1	0	1	-98.2692
0.604929	1	0	1	-98.2692
0.605929	1	0	1	-98.2692
0.606929	1	0	1	-98.2692
0.607929	1	0	1	-98.2692
0.608929	1	0	1	-98.2692
0.609929	1	0	1	-98.2692
0.610857	1	0	1	-98.2692
0.610929	1	0	1	-98.2692
0.611929	1	0	1	-98.2692
0.612929	1	0	1	-98.2692
0.613929	1	0	1	-98.2692
0.614929	1	0	1	-98.2692
0.615929	1	0	1	-98.2692
0.616929	1	0	1	-98.2692
0.617929	1	0	1	-98.2692
0.618929	1	0	1	-98.2692
0.619929	1	0	1	-98.2692
0.620929	1	0	1	-98.2692
0.621929	1	0	1	-98.2692
0.622929	1	0	1	-98.2692
0.623929	1	0	1	-98.2692
0.624929	1	0	1	-98.2692
0.625929	1	0	1	-98.2692
0.626929	1	0	1	-98.2692
0.627929	1	0	1	-98.2692
