time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.620029	1	1	5	8688	0.00302856
0.621029	1	1	5	8688	0.00302856
0.622029	1	1	5	8688	0.00302856
0.623029	1	1	5	8688	0.00302856
0.624029	1	1	5	8688	0.00302856
0.625029	1	1	5	8688	0.00302856
0.626029	1	1	5	8688	0.00302856
0.627029	1	1	5	8688	0.00302856
0.628029	1	1	5	8688	0.00302856
0.629029	1	1	5	8688	0.00302856
0.630029	1	1	5	8688	0.00302856
0.631029	1	1	5	8688	0.00302856
0.632029	1	1	5	8688	0.00302856
0.633029	1	1	5	8688	0.00302856
0.634029	1	1	5	8688	0.00302856
0.635029	1	1	5	8688	0.00302856
0.636029	1	1	5	8688	0.00302856
0.637029	1	1	5	8688	0.00302856
0.638029	1	1	5	8688	0.00302856
0.639029	1	1	5	8688	0.00302856
0.640029	1	1	5	8688	0.00302856
0.641029	1	1	5	8688	0.00302856
0.642029	1	1	5	8688	0.00302856
0.643029	1	1	5	8688	0.00302856
0.644029	1	1	5	8688	0.00302856
0.645029	1	1	5	8688	0.00302856
0.646029	1	1	5	8688	0.00302856
0.647029	1	1	5	8688	0.00302856
0.648029	1	1	5	8688	0.00302856
0.649029	1	1	5	8688	0.00302856
0.650029	1	1	5	8688	0.00302856
0.651029	1	1	5	8688	0.00302856
0.652029	1	1	5	8688	0.00302856
0.653029	1	1	5	8688	0.00302856
0.654029	1	1	5	8688	0.00302856
0.655029	1	1	5	8688	0.00302856
0.656029	1	1	5	8688	0.00302856
0.657029	1	1	5	8688	0.00302856
0.658029	1	1	5	8688	0.00302856
0.659029	1	1	5	8688	0.00302856
0.660029	1	1	5	8688	0.00302856
0.661029	1	1	5	8688	0.00302856
0.662029	1	1	5	8688	0.00302856
0.663029	1	1	5	8688	0.00302856
0.664029	1	1	5	8688	0.00302856
0.665029	1	1	5	8688	0.00302856
0.666029	1	1	5	8688	0.00302856
0.667029	1	1	5	8688	0.00302856
0.668029	1	1	5	8688	0.00302856
0.669029	1	1	5	8688	0.00302856
0.670029	1	1	5	8688	0.00302856
0.671029	1	1	5	8688	0.00302856
0.672029	1	1	5	8688	0.00302856
0.673029	1	1	5	8688	0.00302856
0.674029	1	1	5	8688	0.00302856
0.675029	1	1	5	8688	0.00302856
0.676029	1	1	5	8688	0.00302856
0.677029	1	1	5	8688	0.00302856
0.678029	1	1	5	8688	0.00302856
0.679029	1	1	5	8688	0.00302856
0.680029	1	1	5	8688	0.00302856
0.681029	1	1	5	8688	0.00302856
0.682029	1	1	5	8688	0.00302856
0.683029	1	1	5	8688	0.00302856
0.684029	1	1	5	8688	0.00302856
0.685029	1	1	5	8688	0.00302856
0.686029	1	1	5	8688	0.00302856
0.687029	1	1	5	8688	0.00302856
0.688029	1	1	5	8688	0.00302856
0.689029	1	1	5	8688	0.00302856
0.690029	1	1	5	8688	0.00302856
0.690957	1	1	5	7965	0.00295714
0.692029	1	1	5	8688	0.00302856
0.693029	1	1	5	8688	0.00302856
0.694029	1	1	5	8688	0.00302856
0.695029	1	1	5	8688	0.00302856
0.696029	1	1	5	8688	0.00302856
0.697029	1	1	5	8688	0.00302856
0.698029	1	1	5	8688	0.00302856
0.699029	1	1	5	8688	0.00302856
0.700029	1	1	5	8688	0.00302856
0.701029	1	1	5	8688	0.00302856
0.702029	1	1	5	8688	0.00302856
0.703029	1	1	5	8688	0.00302856
0.704029	1	1	5	8688	0.00302856
0.705029	1	1	5	8688	0.00302856
0.706029	1	1	5	8688	0.00302856
0.707029	1	1	5	8688	0.00302856
0.708029	1	1	5	8688	0.00302856
0.709029	1	1	5	8688	0.00302856
0.710029	1	1	5	8688	0.00302856
0.711029	1	1	5	8688	0.00302856
0.712029	1	1	5	8688	0.00302856
0.713029	1	1	5	8688	0.00302856
0.714029	1	1	5	8688	0.00302856
0.715029	1	1	5	8688	0.00302856
0.716029	1	1	5	8688	0.00302856
0.717029	1	1	5	8688	0.00302856
0.718029	1	1	5	8688	0.00302856
0.719029	1	1	5	8688	0.00302856
0.720029	1	1	5	8688	0.00302856
0.721029	1	1	5	8688	0.00302856
0.722029	1	1	5	8688	0.00302856
0.723029	1	1	5	8688	0.00302856
0.724029	1	1	5	8688	0.00302856
0.725029	1	1	5	8688	0.00302856
0.726029	1	1	5	8688	0.00302856
0.727029	1	1	5	8688	0.00302856
0.728029	1	1	5	8688	0.00302856
0.729029	1	1	5	8688	0.00302856
0.730029	1	1	5	8688	0.00302856
0.731029	1	1	5	8688	0.00302856
0.732029	1	1	5	8688	0.00302856
0.733029	1	1	5	8688	0.00302856
0.734029	1	1	5	8688	0.00302856
0.735029	1	1	5	8688	0.00302856
0.736029	1	1	5	8688	0.00302856
0.737029	1	1	5	8688	0.00302856
0.738029	1	1	5	8688	0.00302856
0.739029	1	1	5	8688	0.00302856
0.740029	1	1	5	8688	0.00302856
0.741029	1	1	5	8688	0.00302856
0.742029	1	1	5	8688	0.00302856
0.743029	1	1	5	8688	0.00302856
0.744029	1	1	5	8688	0.00302856
0.745029	1	1	5	8688	0.00302856
0.746029	1	1	5	8688	0.00302856
0.747029	1	1	5	8688	0.00302856
0.748029	1	1	5	8688	0.00302856
0.749029	1	1	5	8688	0.00302856
0.750029	1	1	5	8688	0.00302856
0.751029	1	1	5	8688	0.00302856
0.752029	1	1	5	8688	0.00302856
0.753029	1	1	5	8688	0.00302856
0.754029	1	1	5	8688	0.00302856
0.755029	1	1	5	8688	0.00302856
0.756029	1	1	5	8688	0.00302856
0.757029	1	1	5	8688	0.00302856
0.758029	1	1	5	8688	0.00302856
0.759029	1	1	5	8688	0.00302856
0.760029	1	1	5	8688	0.00302856
0.761029	1	1	5	8688	0.00302856
0.762029	1	1	5	8688	0.00302856
0.763029	1	1	5	8688	0.00302856
0.764029	1	1	5	8688	0.00302856
0.765029	1	1	5	8688	0.00302856
0.766029	1	1	5	8688	0.00302856
0.767029	1	1	5	8688	0.00302856
0.768029	1	1	5	8688	0.00302856
0.769029	1	1	5	8688	0.00302856
0.770029	1	1	5	8688	0.00302856
0.770957	1	1	5	7965	0.00295714
0.772029	1	1	5	8688	0.00302856
0.773029	1	1	5	8688	0.00302856
0.774029	1	1	5	8688	0.00302856
0.775029	1	1	5	8688	0.00302856
0.776029	1	1	5	8688	0.00302856
0.777029	1	1	5	8688	0.00302856
0.778029	1	1	5	8688	0.00302856
0.779029	1	1	5	8688	0.00302856
0.780029	1	1	5	8688	0.00302856
0.781029	1	1	5	8688	0.00302856
0.782029	1	1	5	8688	0.00302856
0.783029	1	1	5	8688	0.00302856
0.784029	1	1	5	8688	0.00302856
0.785029	1	1	5	8688	0.00302856
0.786029	1	1	5	8688	0.00302856
0.787029	1	1	5	8688	0.00302856
0.788029	1	1	5	8688	0.00302856
0.789029	1	1	5	8688	0.00302856
0.790029	1	1	5	8688	0.00302856
0.791029	1	1	5	8688	0.00302856
0.792029	1	1	5	8688	0.00302856
0.793029	1	1	5	8688	0.00302856
0.794029	1	1	5	8688	0.00302856
0.795029	1	1	5	8688	0.00302856
0.796029	1	1	5	8688	0.00302856
0.797029	1	1	5	8688	0.00302856
0.798029	1	1	5	8688	0.00302856
0.799029	1	1	5	8688	0.00302856
0.800029	1	1	5	8688	0.00302856
0.801029	1	1	5	8688	0.00302856
0.802029	1	1	5	8688	0.00302856
0.803029	1	1	5	8688	0.00302856
0.804029	1	1	5	8688	0.00302856
0.805029	1	1	5	8688	0.00302856
0.806029	1	1	5	8688	0.00302856
0.807029	1	1	5	8688	0.00302856
0.808029	1	1	5	8688	0.00302856
0.809029	1	1	5	8688	0.00302856
0.810029	1	1	5	8688	0.00302856
0.811029	1	1	5	8688	0.00302856
0.812029	1	1	5	8688	0.00302856
0.813029	1	1	5	8688	0.00302856
0.814029	1	1	5	8688	0.00302856
0.815029	1	1	5	8688	0.00302856
0.816029	1	1	5	8688	0.00302856
0.817029	1	1	5	8688	0.00302856
0.818029	1	1	5	8688	0.00302856
0.819029	1	1	5	8688	0.00302856
0.820029	1	1	5	8688	0.00302856
0.821029	1	1	5	8688	0.00302856
0.822029	1	1	5	8688	0.00302856
0.823029	1	1	5	8688	0.00302856
0.824029	1	1	5	8688	0.00302856
0.825029	1	1	5	8688	0.00302856
0.826029	1	1	5	8686	0.00302856
0.827029	1	1	5	8688	0.00302856
0.828029	1	1	5	8688	0.00302856
0.829029	1	1	5	8688	0.00302856
0.830029	1	1	5	8688	0.00302856
0.831029	1	1	5	8688	0.00302856
0.832029	1	1	5	8688	0.00302856
0.833029	1	1	5	8688	0.00302856
0.834029	1	1	5	8688	0.00302856
0.835029	1	1	5	8688	0.00302856
0.836029	1	1	5	8688	0.00302856
0.837029	1	1	5	8688	0.00302856
0.838029	1	1	5	8688	0.00302856
0.839029	1	1	5	8688	0.00302856
0.840029	1	1	5	8688	0.00302856
0.841029	1	1	5	8688	0.00302856
0.842029	1	1	5	8688	0.00302856
0.843029	1	1	5	8688	0.00302856
0.844029	1	1	5	8688	0.00302856
0.845029	1	1	5	8688	0.00302856
0.846029	1	1	5	8688	0.00302856
0.847029	1	1	5	8688	0.00302856
0.848029	1	1	5	8688	0.00302856
0.849029	1	1	5	8688	0.00302856
0.850029	1	1	5	8688	0.00302856
0.850957	1	1	5	7965	0.00295714
0.852029	1	1	5	8688	0.00302856
0.853029	1	1	5	8688	0.00302856
0.854029	1	1	5	8688	0.00302856
0.855029	1	1	5	8688	0.00302856
0.856029	1	1	5	8688	0.00302856
0.857029	1	1	5	8688	0.00302856
0.858029	1	1	5	8688	0.00302856
0.859029	1	1	5	8688	0.00302856
0.860029	1	1	5	8688	0.00302856
0.861029	1	1	5	8688	0.00302856
0.862029	1	1	5	8688	0.00302856
0.863029	1	1	5	8688	0.00302856
0.864029	1	1	5	8688	0.00302856
0.865029	1	1	5	8688	0.00302856
0.866029	1	1	5	8688	0.00302856
0.867029	1	1	5	8688	0.00302856
0.868029	1	1	5	8688	0.00302856
0.869029	1	1	5	8688	0.00302856
0.870029	1	1	5	8688	0.00302856
0.871029	1	1	5	8688	0.00302856
0.872029	1	1	5	8688	0.00302856
0.873029	1	1	5	8688	0.00302856
0.874029	1	1	5	8688	0.00302856
0.875029	1	1	5	8688	0.00302856
0.876029	1	1	5	8688	0.00302856
0.877029	1	1	5	8688	0.00302856
0.878029	1	1	5	8688	0.00302856
0.879029	1	1	5	8688	0.00302856
0.880029	1	1	5	8688	0.00302856
0.881029	1	1	5	8688	0.00302856
0.882029	1	1	5	8688	0.00302856
0.883029	1	1	5	8688	0.00302856
0.884029	1	1	5	8688	0.00302856
0.885029	1	1	5	8688	0.00302856
0.886029	1	1	5	8688	0.00302856
0.887029	1	1	5	8688	0.00302856
0.888029	1	1	5	8688	0.00302856
0.889029	1	1	5	8688	0.00302856
0.890029	1	1	5	8688	0.00302856
0.891029	1	1	5	8688	0.00302856
0.892029	1	1	5	8688	0.00302856
0.893029	1	1	5	8688	0.00302856
0.894029	1	1	5	8688	0.00302856
0.895029	1	1	5	8688	0.00302856
0.896029	1	1	5	8688	0.00302856
0.897029	1	1	5	8688	0.00302856
0.898029	1	1	5	8688	0.00302856
0.899029	1	1	5	8688	0.00302856
0.900029	1	1	5	8688	0.00302856
0.901029	1	1	5	8688	0.00302856
0.902029	1	1	5	8688	0.00302856
0.903029	1	1	5	8688	0.00302856
0.904029	1	1	5	8688	0.00302856
0.905029	1	1	5	8688	0.00302856
0.906029	1	1	5	8688	0.00302856
0.907029	1	1	5	8688	0.00302856
0.908029	1	1	5	8688	0.00302856
0.909029	1	1	5	8688	0.00302856
0.910029	1	1	5	8688	0.00302856
0.911029	1	1	5	8688	0.00302856
0.912029	1	1	5	8688	0.00302856
0.913029	1	1	5	8688	0.00302856
0.914029	1	1	5	8688	0.00302856
0.915029	1	1	5	8688	0.00302856
0.916029	1	1	5	8688	0.00302856
0.917029	1	1	5	8688	0.00302856
0.918029	1	1	5	8688	0.00302856
0.919029	1	1	5	8688	0.00302856
0.920029	1	1	5	8688	0.00302856
0.921029	1	1	5	8688	0.00302856
