Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.641929	DL	64	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.642929	DL	64	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.643929	DL	64	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.644929	DL	64	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.645929	DL	64	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.646929	DL	64	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.647929	DL	64	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.648929	DL	64	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.649929	DL	64	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.650929	DL	65	0	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.651929	DL	65	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.652929	DL	65	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.653929	DL	65	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.654929	DL	65	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.655929	DL	65	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.656929	DL	65	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.657929	DL	65	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.658929	DL	65	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.659929	DL	65	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.660929	DL	66	0	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.661929	DL	66	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.662929	DL	66	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.663929	DL	66	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.664929	DL	66	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.665929	DL	66	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.666929	DL	66	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.667929	DL	66	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.668929	DL	66	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.669929	DL	66	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.670929	DL	67	0	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.671929	DL	67	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.672929	DL	67	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.673929	DL	67	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.674929	DL	67	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.675929	DL	67	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.676929	DL	67	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.677929	DL	67	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.678929	DL	67	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.679929	DL	67	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.680929	DL	68	0	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.681929	DL	68	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.682929	DL	68	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.683929	DL	68	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.684929	DL	68	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.685929	DL	68	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.686929	DL	68	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.687929	DL	68	7	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.688929	DL	68	8	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.689929	DL	68	9	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.690857	DL	69	0	0	1	11	1	0	1	7968	13	3	0	55.8137	15	0	0
0.691929	DL	69	1	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.692929	DL	69	2	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.693929	DL	69	3	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.694929	DL	69	4	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.695929	DL	69	5	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
0.696929	DL	69	6	0	1	12	1	0	1	8691	13	3	0	55.8137	15	0	0
