time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.17403	1	1	5	1030	0.516667
1.17503	1	1	5	1030	0.517627
1.17503	1	1	5	1030	0.517587
1.17503	1	1	5	1030	0.517547
1.17503	1	1	5	1030	0.517507
1.17503	1	1	5	1030	0.517467
1.17503	1	1	5	1030	0.517427
1.17503	1	1	5	1030	0.517387
1.17503	1	1	5	1030	0.517347
1.17503	1	1	5	1030	0.517307
1.17603	1	1	5	1030	0.518267
1.17603	1	1	5	1030	0.518227
1.17603	1	1	5	1030	0.518187
1.17603	1	1	5	1030	0.518147
1.17603	1	1	5	1030	0.518107
1.17603	1	1	5	1030	0.518067
1.17603	1	1	5	1030	0.518027
1.17603	1	1	5	1030	0.517987
1.17703	1	1	5	1030	0.518947
1.17703	1	1	5	1030	0.518907
1.17703	1	1	5	1030	0.518867
1.17703	1	1	5	1030	0.518827
1.17703	1	1	5	1030	0.518787
1.17703	1	1	5	1030	0.518747
1.17703	1	1	5	1030	0.518707
1.17703	1	1	5	1030	0.518667
1.17703	1	1	5	1030	0.518627
1.17803	1	1	5	1030	0.519587
1.17803	1	1	5	1030	0.519547
1.17803	1	1	5	1030	0.519507
1.17803	1	1	5	1030	0.519467
1.17803	1	1	5	1030	0.519427
1.17803	1	1	5	1030	0.519387
1.17803	1	1	5	1030	0.519347
1.17803	1	1	5	1030	0.519307
1.17903	1	1	5	1030	0.520267
1.17903	1	1	5	1030	0.520227
1.17903	1	1	5	1030	0.520187
1.17903	1	1	5	1030	0.520147
1.17903	1	1	5	1030	0.520107
1.17903	1	1	5	1030	0.520067
1.17903	1	1	5	1030	0.520027
1.17903	1	1	5	1030	0.519987
1.18003	1	1	5	1030	0.520947
1.18003	1	1	5	1030	0.520907
1.18003	1	1	5	1030	0.520867
1.18003	1	1	5	1030	0.520827
1.18003	1	1	5	1030	0.520787
1.18003	1	1	5	1030	0.520747
1.18003	1	1	5	1030	0.520707
1.18003	1	1	5	1030	0.520667
1.18003	1	1	5	1030	0.520627
1.18103	1	1	5	1030	0.521587
1.18103	1	1	5	1030	0.521547
1.18103	1	1	5	1030	0.521507
1.18103	1	1	5	1030	0.521467
1.18103	1	1	5	1030	0.521427
1.18103	1	1	5	1030	0.521387
1.18103	1	1	5	1030	0.521347
1.18103	1	1	5	1030	0.521307
1.18203	1	1	5	1030	0.522267
1.18203	1	1	5	1030	0.522227
1.18203	1	1	5	1030	0.522187
1.18203	1	1	5	1030	0.522147
1.18203	1	1	5	1030	0.522107
1.18203	1	1	5	1030	0.522067
1.18203	1	1	5	1030	0.522027
1.18203	1	1	5	1030	0.521987
1.18203	1	1	5	1030	0.521947
1.18303	1	1	5	1030	0.522907
1.18303	1	1	5	1030	0.522867
1.18303	1	1	5	1030	0.522827
1.18303	1	1	5	1030	0.522787
1.18303	1	1	5	1030	0.522747
1.18303	1	1	5	1030	0.522707
1.18303	1	1	5	1030	0.522667
1.18303	1	1	5	1030	0.522627
1.18403	1	1	5	1030	0.523587
1.18403	1	1	5	1030	0.523547
1.18403	1	1	5	1030	0.523507
1.18403	1	1	5	1030	0.523467
1.18403	1	1	5	1030	0.523427
1.18403	1	1	5	1030	0.523387
1.18403	1	1	5	1030	0.523347
1.18403	1	1	5	1030	0.523307
1.18403	1	1	5	1030	0.523267
1.18503	1	1	5	1030	0.524227
1.18503	1	1	5	1030	0.524187
1.18503	1	1	5	1030	0.524147
1.18503	1	1	5	1030	0.524107
1.18503	1	1	5	1030	0.524067
1.18503	1	1	5	1030	0.524027
1.18503	1	1	5	1030	0.523987
1.18503	1	1	5	1030	0.523947
1.18603	1	1	5	1030	0.524907
1.18603	1	1	5	1030	0.524867
1.18603	1	1	5	1030	0.524827
1.18603	1	1	5	1030	0.524787
1.18603	1	1	5	1030	0.524747
1.18603	1	1	5	1030	0.524707
1.18603	1	1	5	1030	0.524667
1.18603	1	1	5	1030	0.524627
1.18703	1	1	5	1030	0.525587
1.18703	1	1	5	1030	0.525547
1.18703	1	1	5	1030	0.525507
1.18703	1	1	5	1030	0.525467
1.18703	1	1	5	1030	0.525427
1.18703	1	1	5	1030	0.525387
1.18703	1	1	5	1030	0.525347
1.18703	1	1	5	1030	0.525307
1.18703	1	1	5	1030	0.525267
1.18803	1	1	5	1030	0.526227
1.18803	1	1	5	1030	0.526187
1.18803	1	1	5	1030	0.526147
1.18803	1	1	5	1030	0.526107
1.18803	1	1	5	1030	0.526067
