Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
1.099	gNB PHY Rxed	109	8	0	1	1	0	DL_HARQ
1.1	gNB PHY Rxed	109	9	0	1	1	0	DL_CQI
1.1	gNB PHY Rxed	109	9	0	1	1	0	DL_HARQ
1.101	gNB PHY Rxed	110	0	0	1	1	0	DL_CQI
1.101	gNB PHY Rxed	110	0	0	1	1	0	DL_HARQ
1.102	gNB PHY Rxed	110	1	0	1	1	0	DL_CQI
1.102	gNB PHY Rxed	110	1	0	1	1	0	DL_HARQ
1.103	gNB PHY Rxed	110	2	0	1	1	0	DL_CQI
1.103	gNB PHY Rxed	110	2	0	1	1	0	DL_HARQ
1.104	gNB PHY Rxed	110	3	0	1	1	0	DL_CQI
1.104	gNB PHY Rxed	110	3	0	1	1	0	DL_HARQ
1.105	gNB PHY Rxed	110	4	0	1	1	0	DL_CQI
1.105	gNB PHY Rxed	110	4	0	1	1	0	DL_HARQ
1.106	gNB PHY Rxed	110	5	0	1	1	0	DL_CQI
1.106	gNB PHY Rxed	110	5	0	1	1	0	DL_HARQ
1.107	gNB PHY Rxed	110	6	0	1	1	0	DL_CQI
1.107	gNB PHY Rxed	110	6	0	1	1	0	DL_HARQ
1.108	gNB PHY Rxed	110	7	0	1	1	0	DL_CQI
1.108	gNB PHY Rxed	110	7	0	1	1	0	DL_HARQ
1.109	gNB PHY Rxed	110	8	0	1	1	0	DL_CQI
1.109	gNB PHY Rxed	110	8	0	1	1	0	DL_HARQ
1.11	gNB PHY Rxed	110	9	0	1	1	0	DL_CQI
1.11	gNB PHY Rxed	110	9	0	1	1	0	DL_HARQ
1.111	gNB PHY Rxed	111	0	0	1	1	0	DL_CQI
1.111	gNB PHY Rxed	111	0	0	1	1	0	DL_HARQ
1.112	gNB PHY Rxed	111	1	0	1	1	0	DL_CQI
1.112	gNB PHY Rxed	111	1	0	1	1	0	DL_HARQ
1.113	gNB PHY Rxed	111	2	0	1	1	0	DL_CQI
1.113	gNB PHY Rxed	111	2	0	1	1	0	DL_HARQ
1.114	gNB PHY Rxed	111	3	0	1	1	0	DL_CQI
1.114	gNB PHY Rxed	111	3	0	1	1	0	DL_HARQ
1.115	gNB PHY Rxed	111	4	0	1	1	0	DL_CQI
1.115	gNB PHY Rxed	111	4	0	1	1	0	DL_HARQ
1.116	gNB PHY Rxed	111	5	0	1	1	0	DL_CQI
1.116	gNB PHY Rxed	111	5	0	1	1	0	DL_HARQ
1.117	gNB PHY Rxed	111	6	0	1	1	0	DL_CQI
1.117	gNB PHY Rxed	111	6	0	1	1	0	DL_HARQ
1.118	gNB PHY Rxed	111	7	0	1	1	0	DL_CQI
1.118	gNB PHY Rxed	111	7	0	1	1	0	DL_HARQ
1.119	gNB PHY Rxed	111	8	0	1	1	0	DL_CQI
1.119	gNB PHY Rxed	111	8	0	1	1	0	DL_HARQ
1.12	gNB PHY Rxed	111	9	0	1	1	0	DL_CQI
1.12	gNB PHY Rxed	111	9	0	1	1	0	DL_HARQ
1.121	gNB PHY Rxed	112	0	0	1	1	0	DL_CQI
1.121	gNB PHY Rxed	112	0	0	1	1	0	DL_HARQ
