time(s)	cellId	rnti	lcid	packetSize
0.824	1	1	5	8688
0.825	1	1	5	8688
0.826	1	1	5	8688
0.827	1	1	5	8688
0.828	1	1	5	8688
0.829	1	1	5	8688
0.83	1	1	5	8688
0.831	1	1	5	8688
0.832	1	1	5	8688
0.833	1	1	5	8688
0.834	1	1	5	8688
0.835	1	1	5	8688
0.836	1	1	5	8688
0.837	1	1	5	8688
0.838	1	1	5	8688
0.839	1	1	5	8688
0.84	1	1	5	8688
0.841	1	1	5	8688
0.842	1	1	5	8688
0.843	1	1	5	8688
0.844	1	1	5	8688
0.845	1	1	5	8688
0.846	1	1	5	8688
0.847	1	1	5	8688
0.848	1	1	5	7965
0.849	1	1	5	8688
0.85	1	1	5	8688
0.851	1	1	5	8688
0.852	1	1	5	8688
0.853	1	1	5	8688
0.854	1	1	5	8688
0.855	1	1	5	8688
0.856	1	1	5	8688
0.857	1	1	5	8688
0.858	1	1	5	8688
0.859	1	1	5	8688
0.86	1	1	5	8688
0.861	1	1	5	8688
0.862	1	1	5	8688
0.863	1	1	5	8688
0.864	1	1	5	8688
0.865	1	1	5	8688
0.866	1	1	5	8688
0.867	1	1	5	8688
0.868	1	1	5	8688
0.869	1	1	5	8688
0.87	1	1	5	8688
0.871	1	1	5	8688
0.872	1	1	5	8688
0.873	1	1	5	8688
0.874	1	1	5	8688
0.875	1	1	5	8688
0.876	1	1	5	8688
0.877	1	1	5	8688
0.878	1	1	5	8688
0.879	1	1	5	8688
0.88	1	1	5	8688
0.881	1	1	5	8688
0.882	1	1	5	8688
0.883	1	1	5	8688
0.884	1	1	5	8688
0.885	1	1	5	8688
0.886	1	1	5	8688
0.887	1	1	5	8688
0.888	1	1	5	8688
0.889	1	1	5	8688
0.89	1	1	5	8688
0.891	1	1	5	8688
0.892	1	1	5	8688
0.893	1	1	5	8688
0.894	1	1	5	8688
0.895	1	1	5	8688
0.896	1	1	5	8688
0.897	1	1	5	8688
0.898	1	1	5	8688
0.899	1	1	5	8688
0.9	1	1	5	8688
0.901	1	1	5	8688
0.902	1	1	5	8688
0.903	1	1	5	8688
0.904	1	1	5	8688
0.905	1	1	5	8688
0.906	1	1	5	8688
0.907	1	1	5	8688
0.908	1	1	5	8688
0.909	1	1	5	8688
0.91	1	1	5	8688
0.911	1	1	5	8688
0.912	1	1	5	8688
0.913	1	1	5	8688
0.914	1	1	5	8688
0.915	1	1	5	8688
0.916	1	1	5	8688
0.917	1	1	5	8688
0.918	1	1	5	8688
0.919	1	1	5	8688
0.92	1	1	5	8688
0.921	1	1	5	8688
0.922	1	1	5	8688
0.923	1	1	5	8688
0.924	1	1	5	8688
0.925	1	1	5	8688
0.926	1	1	5	8688
0.927	1	1	5	8688
0.928	1	1	5	7965
0.929	1	1	5	8688
0.93	1	1	5	8688
0.931	1	1	5	8688
0.932	1	1	5	8688
0.933	1	1	5	8688
0.934	1	1	5	8688
0.935	1	1	5	8688
