time(s)	cellId	rnti	lcid	packetSize
0.901642	1	1	5	1030
0.901682	1	1	5	1030
0.901722	1	1	5	1030
0.901762	1	1	5	1030
0.901802	1	1	5	1030
0.901842	1	1	5	1030
0.901882	1	1	5	1030
0.901922	1	1	5	1030
0.901962	1	1	5	1030
0.902002	1	1	5	1030
0.902042	1	1	5	1030
0.902082	1	1	5	1030
0.902122	1	1	5	1030
0.902162	1	1	5	1030
0.902202	1	1	5	1030
0.902242	1	1	5	1030
0.902282	1	1	5	1030
0.902322	1	1	5	1030
0.902362	1	1	5	1030
0.902402	1	1	5	1030
0.902442	1	1	5	1030
0.902482	1	1	5	1030
0.902522	1	1	5	1030
0.902562	1	1	5	1030
0.902602	1	1	5	1030
0.902642	1	1	5	1030
0.902682	1	1	5	1030
0.902722	1	1	5	1030
0.902762	1	1	5	1030
0.902802	1	1	5	1030
0.902842	1	1	5	1030
0.902882	1	1	5	1030
0.902922	1	1	5	1030
0.902962	1	1	5	1030
0.903002	1	1	5	1030
0.903042	1	1	5	1030
0.903082	1	1	5	1030
0.903122	1	1	5	1030
0.903162	1	1	5	1030
0.903202	1	1	5	1030
0.903242	1	1	5	1030
0.903282	1	1	5	1030
0.903322	1	1	5	1030
0.903362	1	1	5	1030
0.903402	1	1	5	1030
0.903442	1	1	5	1030
0.903482	1	1	5	1030
0.903522	1	1	5	1030
0.903562	1	1	5	1030
0.903602	1	1	5	1030
0.903642	1	1	5	1030
0.903682	1	1	5	1030
0.903722	1	1	5	1030
0.903762	1	1	5	1030
0.903802	1	1	5	1030
0.903842	1	1	5	1030
0.903882	1	1	5	1030
0.903922	1	1	5	1030
0.903962	1	1	5	1030
0.904002	1	1	5	1030
0.904042	1	1	5	1030
0.904082	1	1	5	1030
0.904122	1	1	5	1030
0.904162	1	1	5	1030
0.904202	1	1	5	1030
0.904242	1	1	5	1030
0.904282	1	1	5	1030
0.904322	1	1	5	1030
0.904362	1	1	5	1030
0.904402	1	1	5	1030
0.904442	1	1	5	1030
0.904482	1	1	5	1030
0.904522	1	1	5	1030
0.904562	1	1	5	1030
0.904602	1	1	5	1030
0.904642	1	1	5	1030
0.904682	1	1	5	1030
0.904722	1	1	5	1030
0.904762	1	1	5	1030
0.904802	1	1	5	1030
0.904842	1	1	5	1030
0.904882	1	1	5	1030
0.904922	1	1	5	1030
0.904962	1	1	5	1030
0.905002	1	1	5	1030
0.905042	1	1	5	1030
0.905082	1	1	5	1030
0.905122	1	1	5	1030
0.905162	1	1	5	1030
0.905202	1	1	5	1030
0.905242	1	1	5	1030
0.905282	1	1	5	1030
0.905322	1	1	5	1030
0.905362	1	1	5	1030
0.905402	1	1	5	1030
0.905442	1	1	5	1030
0.905482	1	1	5	1030
0.905522	1	1	5	1030
0.905562	1	1	5	1030
0.905602	1	1	5	1030
0.905642	1	1	5	1030
0.905682	1	1	5	1030
0.905722	1	1	5	1030
0.905762	1	1	5	1030
0.905802	1	1	5	1030
0.905842	1	1	5	1030
0.905882	1	1	5	1030
0.905922	1	1	5	1030
0.905962	1	1	5	1030
0.906002	1	1	5	1030
0.906042	1	1	5	1030
0.906082	1	1	5	1030
0.906122	1	1	5	1030
0.906162	1	1	5	1030
0.906202	1	1	5	1030
0.906242	1	1	5	1030
0.906282	1	1	5	1030
0.906322	1	1	5	1030
0.906362	1	1	5	1030
0.906402	1	1	5	1030
0.906442	1	1	5	1030
0.906482	1	1	5	1030
0.906522	1	1	5	1030
0.906562	1	1	5	1030
0.906602	1	1	5	1030
0.906642	1	1	5	1030
0.906682	1	1	5	1030
0.906722	1	1	5	1030
0.906762	1	1	5	1030
0.906802	1	1	5	1030
0.906842	1	1	5	1030
0.906882	1	1	5	1030
0.906922	1	1	5	1030
0.906962	1	1	5	1030
0.907002	1	1	5	1030
0.907042	1	1	5	1030
0.907082	1	1	5	1030
0.907122	1	1	5	1030
0.907162	1	1	5	1030
0.907202	1	1	5	1030
0.907242	1	1	5	1030
0.907282	1	1	5	1030
0.907322	1	1	5	1030
